Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,MCI-CTFSTL-BLF03a,Ethernet49/1,10.255.255.17/31,spine,MCI-CTFSTL-SP01,Ethernet53/1,10.255.255.16/31
l3leaf,MCI-CTFSTL-BLF03a,Ethernet50/1,10.255.255.19/31,spine,MCI-CTFSTL-SP02,Ethernet54/1,10.255.255.18/31
l3leaf,MCI-CTFSTL-BLF03b,Ethernet49/1,10.255.255.21/31,spine,MCI-CTFSTL-SP01,Ethernet54/1,10.255.255.20/31
l3leaf,MCI-CTFSTL-BLF03b,Ethernet50/1,10.255.255.23/31,spine,MCI-CTFSTL-SP02,Ethernet53/1,10.255.255.22/31
l3leaf,MCI-CTFSTL-LF01a,Ethernet49/1,10.255.255.1/31,spine,MCI-CTFSTL-SP01,Ethernet49/1,10.255.255.0/31
l3leaf,MCI-CTFSTL-LF01a,Ethernet50/1,10.255.255.3/31,spine,MCI-CTFSTL-SP02,Ethernet49/1,10.255.255.2/31
l3leaf,MCI-CTFSTL-LF01b,Ethernet49/1,10.255.255.5/31,spine,MCI-CTFSTL-SP01,Ethernet50/1,10.255.255.4/31
l3leaf,MCI-CTFSTL-LF01b,Ethernet50/1,10.255.255.7/31,spine,MCI-CTFSTL-SP02,Ethernet50/1,10.255.255.6/31
l3leaf,MCI-CTFSTL-LF02a,Ethernet49/1,10.255.255.9/31,spine,MCI-CTFSTL-SP01,Ethernet51/1,10.255.255.8/31
l3leaf,MCI-CTFSTL-LF02a,Ethernet50/1,10.255.255.11/31,spine,MCI-CTFSTL-SP02,Ethernet51/1,10.255.255.10/31
l3leaf,MCI-CTFSTL-LF02b,Ethernet49/1,10.255.255.13/31,spine,MCI-CTFSTL-SP01,Ethernet52/1,10.255.255.12/31
l3leaf,MCI-CTFSTL-LF02b,Ethernet50/1,10.255.255.15/31,spine,MCI-CTFSTL-SP02,Ethernet52/1,10.255.255.14/31
