Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,MCI-CTFSTL-BLF03a,Ethernet7,router,ce34,Ethernet3/5,True
l3leaf,MCI-CTFSTL-BLF03a,Ethernet49/1,spine,MCI-CTFSTL-SP01,Ethernet53/1,True
l3leaf,MCI-CTFSTL-BLF03a,Ethernet50/1,spine,MCI-CTFSTL-SP02,Ethernet54/1,True
l3leaf,MCI-CTFSTL-BLF03a,Ethernet51/1,mlag_peer,MCI-CTFSTL-BLF03b,Ethernet51/1,True
l3leaf,MCI-CTFSTL-BLF03a,Ethernet52/1,mlag_peer,MCI-CTFSTL-BLF03b,Ethernet52/1,True
l3leaf,MCI-CTFSTL-BLF03b,Ethernet8,router,ce34,Ethernet3/6,True
l3leaf,MCI-CTFSTL-BLF03b,Ethernet49/1,spine,MCI-CTFSTL-SP01,Ethernet54/1,True
l3leaf,MCI-CTFSTL-BLF03b,Ethernet50/1,spine,MCI-CTFSTL-SP02,Ethernet53/1,True
l3leaf,MCI-CTFSTL-BLF03b,Ethernet51/1,mlag_peer,MCI-CTFSTL-BLF03a,Ethernet51/1,True
l3leaf,MCI-CTFSTL-BLF03b,Ethernet52/1,mlag_peer,MCI-CTFSTL-BLF03a,Ethernet52/1,True
l3leaf,MCI-CTFSTL-LF01a,Ethernet20,router,ce1,Ethernet1,True
l3leaf,MCI-CTFSTL-LF01a,Ethernet49/1,spine,MCI-CTFSTL-SP01,Ethernet49/1,True
l3leaf,MCI-CTFSTL-LF01a,Ethernet50/1,spine,MCI-CTFSTL-SP02,Ethernet49/1,True
l3leaf,MCI-CTFSTL-LF01a,Ethernet51/1,mlag_peer,MCI-CTFSTL-LF01b,Ethernet51/1,True
l3leaf,MCI-CTFSTL-LF01a,Ethernet52/1,mlag_peer,MCI-CTFSTL-LF01b,Ethernet52/1,True
l3leaf,MCI-CTFSTL-LF01b,Ethernet20,router,ce1,Ethernet2,True
l3leaf,MCI-CTFSTL-LF01b,Ethernet49/1,spine,MCI-CTFSTL-SP01,Ethernet50/1,True
l3leaf,MCI-CTFSTL-LF01b,Ethernet50/1,spine,MCI-CTFSTL-SP02,Ethernet50/1,True
l3leaf,MCI-CTFSTL-LF01b,Ethernet51/1,mlag_peer,MCI-CTFSTL-LF01a,Ethernet51/1,True
l3leaf,MCI-CTFSTL-LF01b,Ethernet52/1,mlag_peer,MCI-CTFSTL-LF01a,Ethernet52/1,True
l3leaf,MCI-CTFSTL-LF02a,Ethernet20,router,ce2,Ethernet1,True
l3leaf,MCI-CTFSTL-LF02a,Ethernet49/1,spine,MCI-CTFSTL-SP01,Ethernet51/1,True
l3leaf,MCI-CTFSTL-LF02a,Ethernet50/1,spine,MCI-CTFSTL-SP02,Ethernet51/1,True
l3leaf,MCI-CTFSTL-LF02a,Ethernet51/1,mlag_peer,MCI-CTFSTL-LF02b,Ethernet51/1,True
l3leaf,MCI-CTFSTL-LF02a,Ethernet52/1,mlag_peer,MCI-CTFSTL-LF02b,Ethernet52/1,True
l3leaf,MCI-CTFSTL-LF02b,Ethernet20,router,ce2,Ethernet2,True
l3leaf,MCI-CTFSTL-LF02b,Ethernet49/1,spine,MCI-CTFSTL-SP01,Ethernet52/1,True
l3leaf,MCI-CTFSTL-LF02b,Ethernet50/1,spine,MCI-CTFSTL-SP02,Ethernet52/1,True
l3leaf,MCI-CTFSTL-LF02b,Ethernet51/1,mlag_peer,MCI-CTFSTL-LF02a,Ethernet51/1,True
l3leaf,MCI-CTFSTL-LF02b,Ethernet52/1,mlag_peer,MCI-CTFSTL-LF02a,Ethernet52/1,True
spine,MCI-CTFSTL-SP01,Ethernet49/1,l3leaf,MCI-CTFSTL-LF01a,Ethernet49/1,True
spine,MCI-CTFSTL-SP01,Ethernet50/1,l3leaf,MCI-CTFSTL-LF01b,Ethernet49/1,True
spine,MCI-CTFSTL-SP01,Ethernet51/1,l3leaf,MCI-CTFSTL-LF02a,Ethernet49/1,True
spine,MCI-CTFSTL-SP01,Ethernet52/1,l3leaf,MCI-CTFSTL-LF02b,Ethernet49/1,True
spine,MCI-CTFSTL-SP01,Ethernet53/1,l3leaf,MCI-CTFSTL-BLF03a,Ethernet49/1,True
spine,MCI-CTFSTL-SP01,Ethernet54/1,l3leaf,MCI-CTFSTL-BLF03b,Ethernet49/1,True
spine,MCI-CTFSTL-SP02,Ethernet49/1,l3leaf,MCI-CTFSTL-LF01a,Ethernet50/1,True
spine,MCI-CTFSTL-SP02,Ethernet50/1,l3leaf,MCI-CTFSTL-LF01b,Ethernet50/1,True
spine,MCI-CTFSTL-SP02,Ethernet51/1,l3leaf,MCI-CTFSTL-LF02a,Ethernet50/1,True
spine,MCI-CTFSTL-SP02,Ethernet52/1,l3leaf,MCI-CTFSTL-LF02b,Ethernet50/1,True
spine,MCI-CTFSTL-SP02,Ethernet53/1,l3leaf,MCI-CTFSTL-BLF03b,Ethernet50/1,True
spine,MCI-CTFSTL-SP02,Ethernet54/1,l3leaf,MCI-CTFSTL-BLF03a,Ethernet50/1,True
